# kecerdasan-buatan — pola bit yang dihitung Lua
# bahasa: lua
# versi: Lua 5.4 lewat wasmoon ^1.16.0
# dihasilkan: 2026-09-02T18:25:44Z
# perintah: npm run pancar
# kolom: berkas	baris	kolom	hasil_hex	konteks
bayes.tsv	1	evidence_hex	3f50624dd2f1a9fc	P(E)
bayes.tsv	1	posterior_hex	3f50624dd2f1a9fc	posterior
bayes.tsv	1	likelihood_ratio_hex	3ff0000000000000	rasio kemungkinan
bayes.tsv	2	evidence_hex	3f9475e6362a5e79	P(E)
bayes.tsv	2	posterior_hex	3f0a3d448ed480ae	posterior
bayes.tsv	2	likelihood_ratio_hex	3fa999999999999a	rasio kemungkinan
bayes.tsv	3	evidence_hex	3fb9931ca7d6733f	P(E)
bayes.tsv	3	posterior_hex	3ee4fe07875b133b	posterior
bayes.tsv	3	likelihood_ratio_hex	3f847ae147ae147b	rasio kemungkinan
bayes.tsv	4	evidence_hex	3fc99314445aa2e4	P(E)
bayes.tsv	4	posterior_hex	3ed4fe0e6a1255c5	posterior
bayes.tsv	4	likelihood_ratio_hex	3f747ae147ae147b	rasio kemungkinan
bayes.tsv	5	evidence_hex	3fd99310129cbab6	P(E)
bayes.tsv	5	posterior_hex	3ec4fe11db6fa8ae	posterior
bayes.tsv	5	likelihood_ratio_hex	3f647ae147ae147b	rasio kemungkinan
bayes.tsv	6	evidence_hex	3fdff7d30ad46f58	P(E)
bayes.tsv	6	posterior_hex	3ec0cb42095e209a	posterior
bayes.tsv	6	likelihood_ratio_hex	3f60624dd2f1a9fc	rasio kemungkinan
bayes.tsv	7	evidence_hex	3fe7f9dd3bafd977	P(E)
bayes.tsv	7	posterior_hex	3eb664590730c74a	posterior
bayes.tsv	7	likelihood_ratio_hex	3f55d867c3ece2a5	rasio kemungkinan
bayes.tsv	8	evidence_hex	3fecc56f75d9a0f1	P(E)
bayes.tsv	8	posterior_hex	3eb2a8f520f6e862	posterior
bayes.tsv	8	likelihood_ratio_hex	3f523456789abcdf	rasio kemungkinan
bayes.tsv	9	evidence_hex	3fefa5fa658c4bd3	P(E)
bayes.tsv	9	posterior_hex	3eb0f6b0694a2592	posterior
bayes.tsv	9	likelihood_ratio_hex	3f508cabb37565e2	rasio kemungkinan
bayes.tsv	10	evidence_hex	3f50b1feeb2d0a25	P(E)
bayes.tsv	10	posterior_hex	3f94191f67411155	posterior
bayes.tsv	10	likelihood_ratio_hex	4034000000000000	rasio kemungkinan
bayes.tsv	11	evidence_hex	3f947ae147ae147b	P(E)
bayes.tsv	11	posterior_hex	3f50624dd2f1a9fc	posterior
bayes.tsv	11	likelihood_ratio_hex	3ff0000000000000	rasio kemungkinan
bayes.tsv	12	evidence_hex	3fb9945b6c3760c0	P(E)
bayes.tsv	12	posterior_hex	3f2a3c4268881898	posterior
bayes.tsv	12	likelihood_ratio_hex	3fc9999999999999	rasio kemungkinan
